substance,subsystem acronym,subsystem name,subsystem,process name,process
37,PEM,aggregate production of engineering materials,1,production of engineering materials,1
37,PEM,production of engineering materials,1;1,mining,1
37,PEM,production of engineering materials,1;1,separation,2
37,PEM,mining,1;1;1,concentrate,1
37,PEM,mining,1;1;1,tailings,2
37,PEM,separation,1;1;2,compounds,1
37,PEM,separation,1;1;2,slag,2
37,F&M,aggregate fabrication and manufacturing,2,fabrication and manufacturing,1
37,F&M,fabrication and manufacturing,2;1,fabrication,1
37,F&M,fabrication and manufacturing,2;1,manufacturing,2
37,F&M,fabrication,2;1;1,product,1
37,F&M,fabrication,2;1;1,scrap,2
37,F&M,fabrication,2;1;1,waste,3
37,F&M,manufacturing,2;1;2,product,1
37,F&M,manufacturing,2;1;2,scrap,2
37,F&M,manufacturing,2;1;2,waste,3
37,USE,aggregate use,3,use,1
37,USE,use,3;1,plasma,1
37,USE,use,3;1,defence applications,2
37,USE,use,3;1,liquid crystal displays,3
37,USE,use,3;1,lighting,4
37,USE,use,3;1,fertilizers,5
37,USE,use,3;1,magnetic resonance imaging,6
37,USE,use,3;1,family appliances,7
37,USE,use,3;1,polishing powders,8
37,USE,use,3;1,wind turbines,9
37,USE,use,3;1,automobiles,10
37,USE,use,3;1,catalysts,11
37,USE,use,3;1,NiMH batteries,12
37,USE,use,3;1,glass additives,13
37,USE,use,3;1,audio systems,14
37,USE,use,3;1,auto converters,15
37,USE,use,3;1,computers,16
37,USE,use,3;1,metallurgy,17
37,WMR,aggregate waste management,4,waste management,1
37,WMR,waste management,4;1,scrap,1
37,WMR,waste management,4;1,waste,2
37,ENV,aggregate environment,5,environment,1
37,ENV,environment,5;1,tailings,1
37,ENV,environment,5;1,slag,2
37,ENV,environment,5;1,sludge slimes,3
37,ENV,environment,5;1,leachate,4
37,ENV,environment,5;1,landfill,5
37,ENV,environment,5;1,lithosphere economic resources,6
37,ENV,environment,5;1,ashes particulates,7
37,ENV,environment,5;1,hazardous waste,8
37,ENV,environment,5;1,dissipation,9
37,ENV,environment,5;1,earth orbit,10
37,ENV,environment,5;1,moon,11
37,ENV,environment,5;1,atmosphere,12
37,ENV,environment,5;1,fossil fuel resources,13
37,ENV,environment,5;1,agricultural biomass,14
37,ENV,environment,5;1,terrestrial biomass,15
37,ENV,environment,5;1,soil,16
37,ENV,environment,5;1,continental regolith,17
37,ENV,environment,5;1,freshwater,18
37,ENV,environment,5;1,oceans,19
37,ENV,environment,5;1,ocean biomass,20
37,ENV,environment,5;1,mantle,21
37,ENV,environment,5;1,core,22
37,ENV,environment,5;1,oceanic regolith,23
37,ENV,environment,5;1,consolidated crust,24
37,ENV,environment,5;1,universe non earth planetary bodies,25
37,ENV,dissipation,5;1;9,land,1
37,ENV,dissipation,5;1;9,water bodies,2
37,ENV,dissipation,5;1;9,air,3
37,ENV,oceanic regolith,5;1;23,continental margin regolith,1
37,ENV,oceanic regolith,5;1;23,seafloor regolith,2
37,ENV,consolidated crust,5;1;24,upper continental crust,1
37,ENV,consolidated crust,5;1;24,middle continental crust,2
37,ENV,consolidated crust,5;1;24,lower continental crust,3
37,ENV,consolidated crust,5;1;24,oceanic crust,4
